,id,ano,metascore,title
748,34842,2011,55,Sniper: Ghost Warrior - Second Strike
749,95900,2011,65,Air Conflicts: Secret Wars
751,45770,2011,66,Dead Rising 2: Off the Record
753,200670,2011,63,Disciples III - Resurrection
757,47930,2011,79,The Sims™ 3 Pets
759,201480,2011,64,Serious Sam: The Random Encounter
760,200910,2011,70,Before the Echo
762,201490,2011,57,Airline Tycoon 2
764,43190,2011,51,The Haunted: Hells Reach
767,24200,2011,72,DC Universe™ Online
768,55370,2011,84,Saints Row: The Third Initiation Station
770,71340,2011,77,Sonic Generations Collection
774,110800,2011,83,L.A. Noire
784,91100,2011,73,SkyDrift
793,202200,2011,92,Galactic Civilizations® II: Ultimate Edition
804,23530,2011,69,Earth Defense Force: Insect Armageddon
813,201310,2011,75,X3: Albion Prelude
814,35720,2013,84,Trine 2: Complete Story
819,204030,2011,83,Fable - The Lost Chapters
836,200390,2012,67,Oil Rush
838,24480,2012,66,King Arthur II: The Role-Playing Wargame
840,204340,2005,74,Serious Sam 2
842,9900,2010,76,Star Trek Online
845,57740,2012,62,Jagged Alliance - Back in Action
846,204390,2012,62,Pineapple Smash Crew
847,42968,2012,76,Victoria II: A House Divided
848,105800,2012,81,PixelJunk™ Eden
855,203770,2012,82,Crusader Kings II
860,108710,2012,83,Alan Wake
863,10220,2011,24,Postal III
864,108110,2012,46,Starpoint Gemini
866,200210,2012,82,Realm of the Mad God
872,207490,2012,86,Rayman® Origins
873,206760,2012,38,Painkiller: Recurring Evil
877,108500,2012,81,Vessel
882,115110,2012,80,Stacking
886,207420,2012,81,Wizorb
887,73060,2012,58,Defenders of Ardania
893,207250,2012,74,Cubemen
894,208110,2012,80,Myst V
897,207320,2012,73,Ys: The Oath in Felghana
899,204180,2012,81,Waveform
904,201271,2012,86,Total War: Shogun 2 - Fall of the Samurai
910,205630,2012,78,Tropico 4: Modern Times
914,202310,2012,72,Ridge Racer™ Unbounded
916,204560,2012,51,Confrontation
925,40390,2012,69,Risen 2: Dark Waters
929,203750,2012,68,Binary Domain
930,209370,2012,62,Analogue: A Hate Story
931,98300,2012,71,Toy Soldiers
947,41014,2010,76,Serious Sam HD: The Second Encounter
953,209100,2012,48,Resident Evil: Operation Raccoon City
955,205530,2012,69,Gratuitous Tank Battles
961,207350,2012,76,Ys Origin
964,204100,2012,87,Max Payne 3
969,212500,2012,86,The Lord of the Rings Online™
970,209790,2012,70,Splice
972,42170,2012,52,Krater
975,212160,2012,76,Vindictus
979,203830,2012,75,The Dark Eye: Chains of Satinav
982,212630,2012,71,Tom Clancy's Ghost Recon: Future Soldier™
985,200010,2012,77,Quantum Conundrum
986,17080,2012,86,Tribes: Ascend
988,214170,2002,81,Divine Divinity
1021,213350,2012,73,MDK2 HD
1025,215160,2012,82,The Book of Unwritten Tales
1028,207650,2012,65,A Virus Named TOM
1038,209270,2012,75,Hero Academy
1040,115120,2012,75,Iron Brigade
1045,730,2012,83,Counter-Strike: Global Offensive
1047,208580,2005,85,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™
1048,217290,2010,76,Din's Curse
1058,72000,2012,78,Closure
1068,200260,2012,91,Batman: Arkham City - Game of the Year Edition
1069,206440,2011,81,To the Moon
1070,214970,2012,80,Intrusion 2
1091,205650,2012,73,The Testament of Sherlock Holmes
1096,209670,2012,44,Cortex Command
1108,215510,2012,74,Rocketbirds: Hardboiled Chicken
1140,205190,2012,78,Rocksmith™
1141,219910,2012,75,Edna &amp; Harvey: Harvey's New Eyes
1142,218090,2012,84,Unity of Command: Stalingrad Campaign
1143,215470,2012,67,Primal Carnage
1146,223220,2012,77,Giana Sisters: Twisted Dreams
1148,200370,2012,60,A Game of Dwarves
1150,219150,2012,85,Hotline Miami
1155,209080,2012,64,Guns of Icarus Online
1156,4720,2006,78,Condemned: Criminal Origins
1157,219760,2004,73,Beyond Divinity
1162,223470,2003,59,POSTAL 2
1164,203680,2012,62,F1 RACE STARS™
1165,220740,2012,78,Chaos on Deponia
1166,216130,2012,53,Gemini Wars
1171,207040,2012,77,Sine Mora
1172,223730,2012,80,Fly'N
1174,200490,2012,66,Memento Mori
1178,202970,2012,74,Call of Duty®: Black Ops II
1203,223510,2012,76,Miasmata
1206,209190,2012,80,Stealth Bastard Deluxe
1207,44690,2005,84,GT Legends
1209,221830,2012,73,The Book of Unwritten Tales: The Critter Chronicles
1210,227000,2012,72,Primordia
1215,224300,2003,70,Legacy of Kain: Defiance
1217,224940,2001,77,Legacy of Kain: Soul Reaver 2
1223,105000,2012,72,A New Beginning - Final Cut
1247,215710,2013,73,Fieldrunners 2
1262,209540,2013,66,Strike Suit Zero
1263,221810,2013,68,The Cave
1264,228400,2013,77,Ace Combat Assault Horizon - Enhanced Edition
1266,220440,2013,85,DmC: Devil May Cry
1268,227800,2013,70,Retrovirus
1284,224820,2013,79,Super House of Dead Ninjas
1286,228320,2013,68,A Valley Without Wind 2
1291,227760,2013,71,March of the Eagles
1310,230150,2013,74,Incredipede
1315,220160,2013,85,Trials Evolution: Gold Edition
1318,232770,1997,56,POSTAL
1319,221040,2013,69,Resident Evil 6 / Biohazard 6
1323,234900,2013,75,Anodyne
1334,233470,2013,61,Evoland
1337,230650,2013,52,Lords of Football
1338,227220,2013,79,Sang-Froid - Tales of Werewolves
1341,228440,2013,68,Cubemen 2
1350,227080,2013,70,Papo &amp; Yo
1352,233720,2013,71,Surgeon Simulator
1355,227480,2013,58,God Mode
1356,232050,2013,74,Eador. Masters of the Broken World
1361,232750,2013,59,Mars: War Logs
1362,234710,2013,75,Poker Night 2
1363,220660,2013,61,StarDrive
1365,210770,2013,77,Sanctum 2
1375,222730,2013,75,Reus
1378,235070,2013,49,Bad Bots
1381,222480,2013,77,Resident Evil Revelations / Biohazard Revelations
1385,210908,2013,88,Expansion - Crusader Kings II: The Old Gods
1392,228300,2013,65,Remember Me
